id	nev	osztaly	fiu
240	Kocsis Szabrina	10/B	0
241	Macsák Nóra	10/C	0
242	Sipos Erik	10/C	-1
243	Gyebrovszki Csilla	10/A	0
244	Mészáros Kata	10/A	0
245	Sáringer Lilla	10/C	0
246	Kiss Dóra	10/A	0
247	Tóth Barbara	10/A	0
248	Keleti Hanna	10/C	0
249	Lehotai Anna	10/C	0
250	Sári Péter	10/A	-1
251	Péter Gábor	10/C	-1
252	Csala Ádám	10/A	-1
253	Nyilas Ákos	10/A	-1
254	Meleg Dániel	10/C	-1
255	Kardos Éva	10/C	0
256	Király Petra	10/B	0
257	Werth Eszter	10/C	0
258	Hideg Lili	10/C	0
259	Bodor Borbála	10/C	0
260	Kallai Kata	10/C	0
261	Török Anett	10/C	0
262	Pusztai Bálint	10/A	-1
263	Kispál Péter	10/A	-1
264	Hegedűs Zsófia	10/B	0
265	Tamáska Lilla	10/A	0
266	Zsikó Veronika	10/A	0
267	Kampós Eszter	10/B	0
268	Kincses Noémi	10/B	0
269	Csonka József	10/A	-1
270	Grosz Kata	10/B	0
271	Hóka Ágnes	10/B	0
272	Rozmár Eszter	10/B	0
273	Kasza Bence	10/A	-1
274	Csorba Luca	10/C	0
275	Papp Sára	10/B	0
276	Ilke Adél	10/A	0
277	Harkály Klaudia	10/B	0
278	Zombori Réka	10/B	0
279	Hegedű Fanni	10/C	0
280	Balogh Viola	10/B	0
281	Papp Laura	10/B	0
282	Fekete Réka	10/B	0
283	Bárány Katalin	10/A	0
284	Vörös Lívia	10/A	0
285	Illés László	10/B	-1
286	Varga Melitta	10/A	0
287	Fehér Krisztina	10/A	0
288	Szolga Ádám	10/A	-1
289	Bálint Júlia	10/B	0
290	Tamás Dóra	10/B	0
291	Tóth Veronika	10/C	0
292	Kostyál Enikő	10/B	0
293	Menge Blanka	10/C	0
294	Brávik Lili	10/A	0
295	Gesztes Beáta	10/A	0
296	Lévai Tamás	10/A	-1
297	Farkas Ágota	10/C	0
298	Pammer Petra	10/A	0
299	Juhász Anna	10/B	0
300	Vincze Annabella	10/A	0
301	Balogh Valentina	10/C	0
302	Tóth László	10/A	-1
303	Püski Kitti	10/B	0
304	Kotroczó Barnabás	10/A	-1
305	Boldog Dániel	10/C	-1
306	Gárgyán Patrik	10/C	-1
307	Baka Ágota	10/B	0
308	Pataki Gábor	10/B	-1
309	Almási Rebeka	10/B	0
310	Kiss Márton	10/A	-1
311	Farkas Barnabás	10/C	-1
312	Iván Gedeon	10/B	-1
313	Jánosi Zsófia	10/B	0
314	Nagy Zsombor	10/C	-1
315	Silver Zoltán	10/C	-1
316	Bálint Leticia	10/B	0
317	Réti Dániel	10/A	-1
318	Hódi Emese	10/B	0
319	Csőke Alexandra	10/A	0
320	Lengyel Trisztán	9/B	-1
321	Kiss Brigitta	9/A	0
322	Réti Dániel	9/B	-1
323	Szabó Noémi	9/B	0
324	Hajnal Fanni	9/C	0
325	Bitó Bálint	9/B	-1
326	Heller Szabolcs	9/A	-1
327	Balogh Nikolett	9/A	0
328	Erk Fruzsina	9/C	0
329	Varga Szilvia	9/C	0
330	Bajnai Krisztián	9/A	-1
331	Nyári Barnabás	9/A	-1
332	Szepesi Vivien	9/A	0
333	Patyi Tamás	9/C	-1
334	Paja Tamás	9/C	-1
335	Kincses Kristóf	9/B	-1
336	Vass Anna	9/A	0
337	Tésnyei Tamás	9/B	-1
338	Árpádfalvi Enikő	9/B	0
339	Tóth Ákos	9/C	-1
340	Kertész Szilvia	9/B	0
341	Meller Gabriella	9/A	0
342	Csuka Beáta	9/A	0
343	Hegedűs Zénó	9/A	-1
344	Kovács Szilárd	9/C	-1
345	Szovics Dóra	9/C	0
346	Sümegi Zsanett	9/A	0
347	Lukács Tamás	9/C	-1
348	Gárgyán Rita	9/A	0
349	Szirovicza Bernadett	9/A	0
350	Halk János	9/B	-1
351	Borda Tibor	9/B	-1
352	Hal Bettina	9/C	0
353	Kun Dániel	9/C	-1
354	Pless Gergő	9/C	-1
355	Moldován Tamás	9/A	-1
356	Pop Ramóna	9/C	0
357	Horváth Lili	9/C	0
358	Móricz Rea	9/A	0
359	Jenei Dániel	9/A	-1
360	Vlocskó Gábor	9/C	-1
361	Szűcs Péter	9/B	-1
362	Dömötör Enikő	9/C	0
363	Pásztor Nándor	9/C	-1
364	Elek Vivien	9/C	0
365	Nagy Balázs	9/C	-1
366	Jenke Adrienn	9/C	0
367	Lehoczki Réka	9/C	0
368	Binszki Zoé	9/C	0
369	Kamarás Attila	9/A	-1
370	Mezőlaki Bendegúz	9/C	-1
371	Gyapjas László	9/B	-1
372	Máté Martin	9/B	-1
373	Kerekes Patrícia	9/A	0
374	Kónya Patrik	9/B	-1
375	Csáki Márton	9/A	-1
376	Gecse Dóra	9/B	0
377	Molnár Tünde	9/A	0
378	Rabi Máté	9/B	-1
379	Garai Adél	9/A	0
380	Rádi Bianka	9/B	0
381	Pannonhalmi Martin	9/B	-1
382	Kása Lilla	9/A	0
383	Varga Zsolt	9/B	-1
384	Szűcs Mónika	9/C	0
385	Kun Tamás	9/B	-1
386	Szabados Balázs	9/B	-1
387	Szécsi Brigitta	9/A	0
388	Balázs Domonkos	9/C	-1
389	Nagy Ákos	9/B	-1
390	Dóka Dóra	9/C	0
391	Sisák Judit	9/B	0
392	Takács Lilla	9/A	0
393	Avas Márton	9/A	-1
394	Gyimóth Patrik	9/B	-1
395	Jónás László	9/B	-1
396	Bróm Bettina	9/C	0
397	Gudmann Annamária	9/C	0
398	Kiss Noémi	9/C	0
399	Barna Zita	9/A	0
400	Dorogi Emese	9/C	0
401	Ajtósi Patrik	9/B	-1
402	Lenkei Tamás	9/B	-1
403	Zentay Melitta	9/A	0
404	Kelemen Zsófia	9/A	0
405	Szűcs Kornél	9/A	-1
406	Rácz Flóra	9/B	0
407	Ódor Luca	9/A	0
408	Rádi Luca	9/A	0
409	Vastag Tibor	9/C	-1
410	Kisteleki Igor	9/B	-1
411	Antalics Dominika	9/A	-1
412	Horváth Ferenc	9/B	-1
413	Lengyel Ádám	9/B	-1
414	Kozma Klaudia	9/B	0
415	Csizmadia Vivien	9/C	0
416	Reszegi Béla	9/A	-1
417	Lénárt Sára	9/A	0
418	Bogdándi Dávid	9/B	-1
419	Buzás György	9/A	-1
420	Ridegh Anna	9/B	0
421	Koncz Béla	9/A	-1
422	Kolozsvári Zsófia	9/C	0
423	Kiss Alexandra	9/C	0
424	Juhász Anasztázia	9/C	0
425	Molnár Alex	9/A	-1
426	Berti Gergely	11/C	-1
427	Újfalusi Zsófia	9/B	0
428	Németh Viktória	12/A	0
429	Vőneki Milán	10/B	-1
